title,link
"Pittsburgh American Community Survey 2015 - Miscellaneous Data

    ",https://catalog.data.gov/dataset/pittsburgh-american-community-survey-2015-miscellaneous-data
"Average Salary by Job Classification

    ",https://catalog.data.gov/dataset/average-salary-by-job-classification
"NCHS - Leading Causes of Death: United States

    ",https://catalog.data.gov/dataset/nchs-leading-causes-of-death-united-states
"Auto Sales

    ",https://catalog.data.gov/dataset/auto-sales
"U.S. Billion-dollar Weather and Climate Disasters, 1980 - present (NCEI Accession 0209268)

    ",https://catalog.data.gov/dataset/u-s-billion-dollar-weather-and-climate-disasters-1980-present-ncei-accession-02092681
"Public School Characteristics 2022-23

    ",https://catalog.data.gov/dataset/public-school-characteristics-2022-23-451db
"NCDC Storm Events Database

    ",https://catalog.data.gov/dataset/ncdc-storm-events-database2
"Health conditions among children under age 18, by selected characteristics: United States

    ",https://catalog.data.gov/dataset/health-conditions-among-children-under-age-18-by-selected-characteristics-united-states-53b56
"Cancer Rates

    ",https://catalog.data.gov/dataset/cancer-rates-5cf0c
"Violent Crime Rate

    ",https://catalog.data.gov/dataset/violent-crime-rate-9a68e
"NYPD Arrest Data (Year to Date)

    ",https://catalog.data.gov/dataset/nypd-arrest-data-year-to-date
"National Survey on Drug Use and Health (NSDUH-2015)

    ",https://catalog.data.gov/dataset/national-survey-on-drug-use-and-health-nsduh-2015
"Indicators of Anxiety or Depression Based on Reported Frequency of Symptoms During Last 7 Days

    ",https://catalog.data.gov/dataset/indicators-of-anxiety-or-depression-based-on-reported-frequency-of-symptoms-during-last-7-
"Civil Rights Data Collection State Files 2015-16

    ",https://catalog.data.gov/dataset/civil-rights-data-collection-state-files-2015-16-cf9b8
"National Stock Number Extract

    ",https://catalog.data.gov/dataset/national-stock-number-extract
"Census Data

    ",https://catalog.data.gov/dataset/census-data
"NYC Building Energy and Water Data Disclosure for Local Law 84 (2022-Present)

    ",https://catalog.data.gov/dataset/nyc-building-energy-and-water-data-disclosure-for-local-law-84-2023-present
"Baby Names from Social Security Card Applications - National Data

    ",https://catalog.data.gov/dataset/baby-names-from-social-security-card-applications-national-data
"USEEIO Models with Import Emission Factors for Greenhouse Gases for 2017-2022 from EXIOBASE coupled model

    ",https://catalog.data.gov/dataset/useeio-models-with-import-emission-factors-for-greenhouse-gases-for-2017-2022-from-exiobas
"Regional Air Quality Data

    ",https://catalog.data.gov/dataset/regional-air-quality-data
"TIGER/Line Shapefile, 2022, Nation, U.S., 2020 Census 5-Digit ZIP Code Tabulation Area (ZCTA5)

    ",https://catalog.data.gov/dataset/tiger-line-shapefile-2022-nation-u-s-2020-census-5-digit-zip-code-tabulation-area-zcta5
"Global Historical Climatology Network - Daily (GHCN-Daily), Version 3

    ",https://catalog.data.gov/dataset/global-historical-climatology-network-daily-ghcn-daily-version-32
"Crimes - 2001 to Present

    ",https://catalog.data.gov/dataset/crimes-2001-to-present
"Motor Vehicle Registrations Dashboard data

    ",https://catalog.data.gov/dataset/motor-vehicle-registrations-dashboard-data
"Collection
            
Civil Rights Data Collection (CRDC)

    ",https://catalog.data.gov/dataset/civil-rights-data-collection-crdc
"Traffic Crashes - Crashes

    ",https://catalog.data.gov/dataset/traffic-crashes-crashes
"Chemicals in Cosmetics

    ",https://catalog.data.gov/dataset/chemicals-in-cosmetics-d55bf
"National Database for Autism Research (NDAR)

    ",https://catalog.data.gov/dataset/national-database-for-autism-research-ndar
"U.S. Electric Utility Companies and Rates: Look-up by Zipcode (2020)

    ",https://catalog.data.gov/dataset/u-s-electric-utility-companies-and-rates-look-up-by-zipcode-2020
"311 Service Level Agreements

    ",https://catalog.data.gov/dataset/311-service-level-agreements
"Rates and Trends in Heart Disease and Stroke Mortality Among US Adults (35+) by County, Age Group, Race/Ethnicity, and Sex – 2000-2019

    ",https://catalog.data.gov/dataset/rates-and-trends-in-heart-disease-and-stroke-mortality-among-us-adults-35-by-county-a-2000-45659
"MTA Key Performance Indicators: 2008-2021

    ",https://catalog.data.gov/dataset/metropolitan-transportation-authority-mta-performance-indicators-per-agency-beginning-2008
"Food Affordability

    ",https://catalog.data.gov/dataset/food-affordability-fc448
"Consumer Price Index (CPI)

    ",https://catalog.data.gov/dataset/consumer-price-index-cpi-ee18b
"Normal weight, overweight, and obesity among adults aged 20 and over, by selected characteristics: United States

    ",https://catalog.data.gov/dataset/normal-weight-overweight-and-obesity-among-adults-aged-20-and-over-by-selected-characteris-8e2b1
"MVA Vehicle Sales Counts by Month for Calendar Year 2002 through November 2024

    ",https://catalog.data.gov/dataset/mva-vehicle-sales-counts-by-month-for-calendar-year-2002-2020-up-to-october
"Microplastics in Drinking Water

    ",https://catalog.data.gov/dataset/microplastics-in-drinking-water
"Corporations Search (Washington state)

    ",https://catalog.data.gov/dataset/corporations-search-from-secretary-of-state
"Civil Rights Data Collection, 2013-14

    ",https://catalog.data.gov/dataset/civil-rights-data-collection-2013-14-59e0e
"Financial Statement Data Sets

    ",https://catalog.data.gov/dataset/financial-statement-data-sets
"MTA Bus Fare Evasion: Beginning 2019

    ",https://catalog.data.gov/dataset/mta-bus-fare-evasion-beginning-2019
"Provisional COVID-19 death counts, rates, and percent of total deaths, by jurisdiction of residence

    ",https://catalog.data.gov/dataset/provisional-covid-19-death-counts-rates-and-percent-of-total-deaths-by-jurisdiction-of-res
"Median Household Income in Maryland and Jurisdictions, 2013-2023

    ",https://catalog.data.gov/dataset/median-household-income-in-maryland-and-jurisdictions-2013-2023
"Adoptable Pets

    ",https://catalog.data.gov/dataset/adoptable-pets
"Supply Chain GHG Emission Factors for US Commodities and Industries v1.1.1

    ",https://catalog.data.gov/dataset/supply-chain-ghg-emission-factors-for-us-commodities-and-industries-v1-1-1
"Military Installations, Ranges, and Training Areas

            NGDA
        

    ",https://catalog.data.gov/dataset/military-installations-ranges-and-training-areas
"MTA Bus Speeds: 2015-2019

    ",https://catalog.data.gov/dataset/mta-bus-speeds-beginning-2015
"U.S. Daily Climate Normals (1981-2010)

    ",https://catalog.data.gov/dataset/u-s-daily-climate-normals-1981-20101
"DOB Sustainability Compliance Map: Local Law 33

    ",https://catalog.data.gov/dataset/dob-sustainability-compliance-map-local-law-33
"USGS Water-Quality Data for the Nation - National Water Information System (NWIS)

    ",https://catalog.data.gov/dataset/usgs-water-quality-data-for-the-nation-national-water-information-system-nwis
"Supply Chain Shipment Pricing Dataset

    ",https://catalog.data.gov/dataset/supply-chain-shipment-pricing-data-07d29
"2023 Yellow Taxi Trip Data

    ",https://catalog.data.gov/dataset/2023-yellow-taxi-trip-data
"Air Quality Measures on the National Environmental Health Tracking Network

    ",https://catalog.data.gov/dataset/air-quality-measures-on-the-national-environmental-health-tracking-network
"National USFS Fire Occurrence Point (Feature Layer)

    ",https://catalog.data.gov/dataset/national-usfs-fire-occurrence-point-feature-layer-d3233
"IPCC AR4, AR5, and AR6 20-, 100-, and 500-year GWPs

    ",https://catalog.data.gov/dataset/ipcc-ar4-ar5-and-ar6-20-100-and-500-year-gwps
"Walkability Index

    ",https://catalog.data.gov/dataset/walkability-index8
"School Neighborhood Poverty Estimates, 2020-21

    ",https://catalog.data.gov/dataset/school-neighborhood-poverty-estimates-2020-21
"Hazard Mitigation Assistance Projects

    ",https://catalog.data.gov/dataset/hazard-mitigation-assistance-projects
"CA Geographic Boundaries

    ",https://catalog.data.gov/dataset/ca-geographic-boundaries
"Popular Baby Names

    ",https://catalog.data.gov/dataset/popular-baby-names
"USAID Activity Locations - Activity Descriptions

    ",https://catalog.data.gov/dataset/usaid-activity-locations-activity-descriptions
"Childhood Asthma Healthcare Utilization

    ",https://catalog.data.gov/dataset/childhood-asthma-healthcare-utilization
"National Park Boundaries

    ",https://catalog.data.gov/dataset/national-park-boundaries
"FWS Critical Habitat for Threatened and Endangered Species Dataset

            NGDA
        

    ",https://catalog.data.gov/dataset/fws-critical-habitat-for-threatened-and-endangered-species-dataset
"National Missing and Unidentified Persons System (NamUs)

    ",https://catalog.data.gov/dataset/national-missing-and-unidentified-persons-system-namus
"Harmonized Tariff Schedule of the United States (2024)

    ",https://catalog.data.gov/dataset/harmonized-tariff-schedule-of-the-united-states-2024-41c71
"Low and Moderate Income Areas

    ",https://catalog.data.gov/dataset/hud-low-and-moderate-income-areas
"City and County Vehicle Inventories

    ",https://catalog.data.gov/dataset/city-and-county-vehicle-inventories-f07a0
"Gender, Mental Illness, and Crime in the United States, 2004

    ",https://catalog.data.gov/dataset/gender-mental-illness-and-crime-in-the-united-states-2004-42fde
"Grocery Store Locations

    ",https://catalog.data.gov/dataset/grocery-store-locations
"U.S. Department of Education Budget History

    ",https://catalog.data.gov/dataset/u-s-department-of-education-budget-history
"Quick Stats Agricultural Database

    ",https://catalog.data.gov/dataset/quick-stats-agricultural-database
"Sugar-Sweetened Beverage Consumption in California Residents

    ",https://catalog.data.gov/dataset/sugar-sweetened-beverage-consumption-in-california-residents-69c65
"Collection
            
SAFER - Company Snapshot

    ",https://catalog.data.gov/dataset/safer-company-snapshot
"NCHS - Death rates and life expectancy at birth

    ",https://catalog.data.gov/dataset/nchs-death-rates-and-life-expectancy-at-birth
"Crime Incidents in 2025

    ",https://catalog.data.gov/dataset/crime-incidents-in-2025
"Supply Chain Greenhouse Gas Emission Factors for US Industries and Commodities

    ",https://catalog.data.gov/dataset/supply-chain-greenhouse-gas-emission-factors-for-us-industries-and-commodities
"Individuals, ZIP Code Data

    ",https://catalog.data.gov/dataset/zip-code-data
"Freight Rail Traffic - Carloads

    ",https://catalog.data.gov/dataset/freight-rail-traffic-carloads
"Iowa School Performance Profiles

    ",https://catalog.data.gov/dataset/iowa-school-performance-profiles
"Collection
            
Civil Rights Data Collection (CRDC) for the 2013-14 school year

    ",https://catalog.data.gov/dataset/civil-rights-data-collection-crdc-for-the-2013-14-school-year-7a6ab
"NYPD Shooting Incident Data (Historic)

    ",https://catalog.data.gov/dataset/nypd-shooting-incident-data-historic
"Monthly and Annual Energy Consumption by Sector

    ",https://catalog.data.gov/dataset/monthly-and-annual-energy-consumption-by-sector
"Conditions Contributing to COVID-19 Deaths, by State and Age, Provisional 2020-2023

    ",https://catalog.data.gov/dataset/conditions-contributing-to-deaths-involving-coronavirus-disease-2019-covid-19-by-age-group
"Real Estate Across the United States (REXUS) Inventory (Building)

    ",https://catalog.data.gov/dataset/real-estate-across-the-united-states-rexus-inventory-building
"Hospital Emergency Department - Diagnosis, Procedure, and External Cause Codes

    ",https://catalog.data.gov/dataset/hospital-emergency-department-diagnosis-procedure-and-external-cause-codes-4d347
"Low-Income Energy Affordability Data - LEAD Tool - 2022 Update

    ",https://catalog.data.gov/dataset/low-income-energy-affordability-data-lead-tool-2022-update
"High School Electronic Smoking Device and Tobacco Use Prevalence

    ",https://catalog.data.gov/dataset/high-school-electronic-smoking-device-and-tobacco-use-prevalence-d23f4
"FoodData Central

    ",https://catalog.data.gov/dataset/fooddata-central-db896
"Feed Grains Database

    ",https://catalog.data.gov/dataset/feed-grains-database
"2016-17 - 2020-21 School End-of-Year Attendance and Chronic Absenteeism Data

    ",https://catalog.data.gov/dataset/2016-17-2020-21-school-end-of-year-attendance-and-chronic-absenteeism-data
"Drug Use Data from Selected Hospitals

    ",https://catalog.data.gov/dataset/drug-use-data-from-selected-hospitals-26ee4
"Voter Registration by Census Tract

    ",https://catalog.data.gov/dataset/voter-registration-by-census-tract
"Global Landslide Catalog Export

    ",https://catalog.data.gov/dataset/global-landslide-catalog-export
"1 meter Digital Elevation Models (DEMs) - USGS National Map 3DEP Downloadable Data
          Collection

            NGDA
        

    ",https://catalog.data.gov/dataset/1-meter-digital-elevation-models-dems-usgs-national-map-3dep-downloadable-data-collection
"Food Security in the United States

    ",https://catalog.data.gov/dataset/food-security-in-the-united-states
"Electricity Data and Statistics Application Programming Interface (API)

    ",https://catalog.data.gov/dataset/electricity-data-and-statistics-application-programming-interface-api
"Allegheny County Tax Liens (Filings, Satisfactions, and Current Status)

    ",https://catalog.data.gov/dataset/allegheny-county-tax-liens-filings-satisfactions-and-current-status
"California Hospital Inpatient Mortality Rates and Quality Ratings

    ",https://catalog.data.gov/dataset/california-hospital-inpatient-mortality-rates-and-quality-ratings-8e21f
"Military Bases

    ",https://catalog.data.gov/dataset/military-bases1
"Infectious Diseases by Disease, County, Year, and Sex

    ",https://catalog.data.gov/dataset/infectious-diseases-by-disease-county-year-and-sex-6e856
"Data from: The influence of active video game play upon physical activity and screen-based activities in sedentary children

    ",https://catalog.data.gov/dataset/data-from-the-influence-of-active-video-game-play-upon-physical-activity-and-screen-based--33694
"Food Access Research Atlas

    ",https://catalog.data.gov/dataset/food-access-research-atlas
"MTA Daily Ridership Data: 2020 - 2025

    ",https://catalog.data.gov/dataset/mta-daily-ridership-data-beginning-2020
"Accidental Drug Related Deaths 2012-2023

    ",https://catalog.data.gov/dataset/accidental-drug-related-deaths-2012-2018
"Rare Earth Element Occurrences in the United States

    ",https://catalog.data.gov/dataset/rare-earth-element-occurrences-in-the-united-states
"Traffic Violations

    ",https://catalog.data.gov/dataset/traffic-violations
"Harmonized Tariff Schedule of the United States (2023)

    ",https://catalog.data.gov/dataset/harmonized-tariff-schedule-of-the-united-states-2023
"City and County Energy Profiles

    ",https://catalog.data.gov/dataset/city-and-county-energy-profiles-60fbd
"Safe Drinking Water Information System (SDWIS)

    ",https://catalog.data.gov/dataset/safe-drinking-water-information-system-sdwis
"Demographic and Health Surveys (DHS)

    ",https://catalog.data.gov/dataset/demographic-and-health-surveys-dhs
"DC Office of Tax and Revenue Real Property Assessment Map App

    ",https://catalog.data.gov/dataset/dc-office-of-tax-and-revenue-real-property-assessment-map-app
"Federal Procurement Data System - FPDS API

    ",https://catalog.data.gov/dataset/federal-procurement-data-system-fpds-api
"5.12 Cybersecurity (detail)

    ",https://catalog.data.gov/dataset/5-12-cybersecurity-detail-d8bb7
"Index Crimes by County and Agency: Beginning 1990

    ",https://catalog.data.gov/dataset/index-crimes-by-county-and-agency-beginning-1990
"The National Artificial Intelligence Research And Development Strategic Plan

    ",https://catalog.data.gov/dataset/the-national-artificial-intelligence-research-and-development-strategic-plan
"Heart Disease Mortality Data Among US Adults (35+) by State/Territory and County – 2019-2021

    ",https://catalog.data.gov/dataset/heart-disease-mortality-data-among-us-adults-35-by-state-territory-and-county-2019-2021
"USDA National Nutrient Database for Standard Reference, Legacy Release

    ",https://catalog.data.gov/dataset/usda-national-nutrient-database-for-standard-reference-legacy-release-d1570
"Daily Weather Records

    ",https://catalog.data.gov/dataset/daily-weather-records1
"Listing of Active Businesses

    ",https://catalog.data.gov/dataset/listing-of-active-businesses
"Soil Survey Geographic Database (SSURGO)

            NGDA
        

    ",https://catalog.data.gov/dataset/soil-survey-geographic-database-ssurgo
"TIGER/Line Shapefile, Current, Nation, U.S., State and Equivalent Entities

    ",https://catalog.data.gov/dataset/tiger-line-shapefile-current-nation-u-s-state-and-equivalent-entities
"Locations of Docked Bikeshare Stations by System and Year

    ",https://catalog.data.gov/dataset/locations-of-docked-bikeshare-stations-by-system-and-year
"2022 Cartographic Boundary File (SHP), United States, 1:20,000,000

    ",https://catalog.data.gov/dataset/2022-cartographic-boundary-file-shp-united-states-1-20000000
"Federal Real Property Profile Summary Data by Installation Name

    ",https://catalog.data.gov/dataset/federal-real-property-profile-summary-data-by-installation-name-c9d9e
"National Inpatient Sample (NIS) - Restricted Access Files

    ",https://catalog.data.gov/dataset/hcup-national-nationwide-inpatient-sample-nis-restricted-access-file
"Obesity among children and adolescents aged 2–19 years, by selected characteristics: United States

    ",https://catalog.data.gov/dataset/obesity-among-children-and-adolescents-aged-219-years-by-selected-characteristics-united-s-3ead4
"Global Surface Summary of the Day - GSOD

    ",https://catalog.data.gov/dataset/global-surface-summary-of-the-day-gsod1
"TIGER/Line Shapefile, 2023, Nation, U.S., Primary Roads

    ",https://catalog.data.gov/dataset/tiger-line-shapefile-2023-nation-u-s-primary-roads
"Monthly Counts of Deaths by Select Causes, 2014-2019

    ",https://catalog.data.gov/dataset/monthly-counts-of-deaths-by-select-causes-2014-2019-da9df
"Water Quality Data

    ",https://catalog.data.gov/dataset/water-quality-data-c4036
"2015-16 Harassment or Bullying Estimations by Basis Category

    ",https://catalog.data.gov/dataset/2015-16-harassment-or-bullying-estimations-by-basis-category-21514
"Disaster Declarations Summaries

    ",https://catalog.data.gov/dataset/disaster-declarations-summaries-nemis
"School Attendance by Student Group and District, 2021-2022

    ",https://catalog.data.gov/dataset/school-attendance-by-student-group-and-district-2021-2022
"The EPA Automotive Trends Report: Greenhouse Gas Emissions, Fuel Economy, and Technology since 1975

    ",https://catalog.data.gov/dataset/the-epa-automotive-trends-report-greenhouse-gas-emissions-fuel-economy-and-technology-sinc
"Licensed Driver Dashboard Data

    ",https://catalog.data.gov/dataset/licensed-driver-dashboard-data
"Water Consumption And Cost (2013 - Feb 2025)

    ",https://catalog.data.gov/dataset/water-consumption-and-cost-2013-2020
"PLACES: Local Data for Better Health, Place Data 2023 release

    ",https://catalog.data.gov/dataset/places-local-data-for-better-health-place-data-2023-release
"18 excel spreadsheets by species and year giving reproduction and growth data.  One excel spreadsheet of herbicide treatment chemistry.

    ",https://catalog.data.gov/dataset/18-excel-spreadsheets-by-species-and-year-giving-reproduction-and-growth-data-one-excel-sp
"Occupational Employment and Wage Statistics (OES)

    ",https://catalog.data.gov/dataset/occupational-employment-and-wage-statistics-oes
"Cropland Data Layer

            NGDA
        

    ",https://catalog.data.gov/dataset/cropscape-cropland-data-layer
"National Agriculture Imagery Program (NAIP) Imagery

            NGDA
        

    ",https://catalog.data.gov/dataset/national-agriculture-imagery-program-naip-imagery
"Li-ion Battery Aging Datasets

    ",https://catalog.data.gov/dataset/li-ion-battery-aging-datasets
"Toxics Release Inventory (TRI)

    ",https://catalog.data.gov/dataset/toxics-release-inventory-tri
"Campaign Finance Reporting History

    ",https://catalog.data.gov/dataset/campaign-finance-reporting-history
"Subcontracting Directory for Small Businesses

    ",https://catalog.data.gov/dataset/subcontracting-directory-for-small-businesses
"Interest Rate Statistics - Daily Treasury Bill Rates

    ",https://catalog.data.gov/dataset/interest-rate-statistics-daily-treasury-bill-rates
"U.S. Overseas Loans and Grants (Greenbook)

    ",https://catalog.data.gov/dataset/u-s-overseas-loans-and-grants-greenbook
"Electric Vehicle Charging Stations

    ",https://catalog.data.gov/dataset/electric-vehicle-charging-stations
"Zoning by Address

    ",https://catalog.data.gov/dataset/zoning-by-address
"Global Terrorism Database

    ",https://catalog.data.gov/dataset/global-terrorism-database
"Social Media Channels and Statistics at the National Archives

    ",https://catalog.data.gov/dataset/social-media-channels-and-statistics-at-the-national-archives
"Motor Carrier Registrations - Census Files

    ",https://catalog.data.gov/dataset/motor-carrier-registrations-census-files
"Total Energy Data and Statistics

    ",https://catalog.data.gov/dataset/total-energy-data-and-statistics
"MTA Subway Accessible Station Platform Availability: Beginning 2018

    ",https://catalog.data.gov/dataset/mta-subway-accessible-station-platform-availability-beginning-2018
"FIMA NFIP Redacted Claims (OpenFEMA)

    ",https://catalog.data.gov/dataset/fima-nfip-redacted-claims-openfema
"Insurance complaints: All data

    ",https://catalog.data.gov/dataset/insurance-complaints-all-data
"Combined wildfire datasets for the United States and certain territories, 1800s-Present

    ",https://catalog.data.gov/dataset/combined-wildfire-datasets-for-the-united-states-and-certain-territories-1800s-present
"National Survey of Adolescents in the United States, 1995

    ",https://catalog.data.gov/dataset/national-survey-of-adolescents-in-the-united-states-1995-fdce8
"FSIS MPI - Meat, Poultry, and Egg Inspection Directory by Establishment Number

    ",https://catalog.data.gov/dataset/fsis-meat-poultry-and-egg-inspection-directory-by-establishment-number
"Collection
            
Uniform Crime Reporting (UCR) Program

    ",https://catalog.data.gov/dataset/uniform-crime-reporting-ucr-program
"USEEIO v2.0.1-411

    ",https://catalog.data.gov/dataset/useeio-v2-0-1-411
"Summer Sports Experience: 2017 to 2021

    ",https://catalog.data.gov/dataset/summer-sports-experience
"International Macroeconomic Data Set

    ",https://catalog.data.gov/dataset/international-macroeconomic-data-set
"U.S. Annual/Seasonal Climate Normals (1981-2010)

    ",https://catalog.data.gov/dataset/u-s-annual-seasonal-climate-normals-1981-20103
"Jobs NYC Postings

    ",https://catalog.data.gov/dataset/nyc-jobs
"Collection
            
Highway Performance Monitoring System (HPMS)

    ",https://catalog.data.gov/dataset/highway-performance-monitoring-system-hpms
"Provisional drug overdose death counts for specific drugs

    ",https://catalog.data.gov/dataset/provisional-drug-overdose-death-counts-for-specific-drugs
"MTA Bus Speeds: Beginning 2020

    ",https://catalog.data.gov/dataset/mta-bus-speeds-beginning-2020
"USGS National Structures Dataset - USGS National Map Downloadable Data Collection

            NGDA
        

    ",https://catalog.data.gov/dataset/usgs-national-structures-dataset-usgs-national-map-downloadable-data-collection
"DIR Electrician Certification Unit (ECU)

    ",https://catalog.data.gov/dataset/dir-electrician-certification-unit-ecu
"SRTM30+ Global 1-km Digital Elevation Model (DEM): Version 11: Land Surface

    ",https://catalog.data.gov/dataset/srtm30-global-1-km-digital-elevation-model-dem-version-11-land-surface
"International Food Security

    ",https://catalog.data.gov/dataset/international-food-security
"Emission & Generation Resource Integrated Database (eGRID)

    ",https://catalog.data.gov/dataset/emission-generation-resource-integrated-database-egrid2020
"Board of Veterans' Appeals Decisions

    ",https://catalog.data.gov/dataset/board-of-veterans-appeals-decisions
"Nutrition, Physical Activity, and Obesity - Youth Risk Behavior Surveillance System

    ",https://catalog.data.gov/dataset/nutrition-physical-activity-and-obesity-youth-risk-behavior-surveillance-system
"MTA Subway Major Incidents: Beginning 2020

    ",https://catalog.data.gov/dataset/mta-subway-major-incidents-beginning-2020
"Public Libraries

    ",https://catalog.data.gov/dataset/public-libraries-b1aaf
"Civil Rights Data Collection, 2011-12

    ",https://catalog.data.gov/dataset/civil-rights-data-collection-2011-12-53eb4
"Household Debt by State, County, and MSA

    ",https://catalog.data.gov/dataset/household-debt-by-state-county-and-msa
"Surgical Site Infections (SSIs) for Operative Procedures in California Hospitals

    ",https://catalog.data.gov/dataset/surgical-site-infections-ssis-for-operative-procedures-in-california-hospitals-a6bf6
"Cannabis Retail Sales by Week Ending

    ",https://catalog.data.gov/dataset/cannabis-retail-sales-by-week-ending
"500 Cities: City Boundaries

    ",https://catalog.data.gov/dataset/500-cities-city-boundaries
